Messung,Soll,Ist,Abweichung in Y,Abweichung in X
1,0.22,0.216969467786,-0.00303053221393,0.000680246772996
2,0.24,0.238290044321,-0.00170995567863,0.00128853337185
3,0.26,0.257617086319,-0.00238291368104,0.000418684279801
4,0.28,0.277816085867,-0.00218391413315,-0.000209400401095
5,0.3,0.297253286809,-0.00274671319109,-0.00124415338891
6,0.32,0.316189187216,-0.00381081278432,-0.00106808099186
7,0.34,0.335487600886,-0.00451239911388,0.00277682512238
8,0.36,0.354642853021,-0.00535714697924,0.00212711295064
9,0.38,0.375054910574,-0.00494508942603,0.00152332327074
10,0.4,0.396031953532,-0.00396804646843,0.00226343099445
1,0.22,0.216617201637,-0.00338279836297,-0.00115522473783
2,0.24,0.23755390194,-0.00244609805962,0.00120636577728
3,0.26,0.256960351241,-0.00303964875868,0.000329151584499
4,0.28,0.276586777782,-0.00341322221753,0.000109111367764
5,0.3,0.296683480405,-0.00331651959515,-0.0014197389475
6,0.32,0.316175371134,-0.00382462886614,0.000673702405418
7,0.34,0.335532386071,-0.00446761392948,0.00270374923561
8,0.36,0.355629361501,-0.00437063849855,0.000418252070909
9,0.38,0.374715528365,-0.00528447163521,0.000434021579422
10,0.4,0.395313475964,-0.00468652403604,0.00151955269984
