Messung,Soll,Ist,Abweichung in Y,Abweichung in X
10,-0.2,-0.203731595637,-0.00373159563687,0.000930872376549
1,-0.38,-0.383589601271,-0.0035896012708,8.86767854369e-05
2,-0.36,-0.363358651856,-0.00335865185555,0.00119371406961
3,-0.34,-0.343812929965,-0.00381292996487,0.000133392444824
4,-0.32,-0.322222746057,-0.00222274605725,-0.000804628266316
5,-0.3,-0.303620280309,-0.00362028030896,-0.000443512907818
6,-0.28,-0.283126276627,-0.00312627662664,-0.000453970267303
7,-0.26,-0.26379596302,-0.00379596301988,-0.000813402374602
8,-0.24,-0.242230510313,-0.00223051031258,-0.00195047486403
9,-0.22,-0.222288317753,-0.00228831775328,-0.00176301379477
10,-0.2,-0.200658007961,-0.000658007961446,0.00105608803518
1,-0.38,-0.383114014319,-0.00311401431871,-0.00178129595219
2,-0.36,-0.363453946415,-0.00345394641534,0.000384620524711
3,-0.34,-0.344338387309,-0.00433838730932,0.000765782268921
4,-0.32,-0.322587125505,-0.00258712550493,-0.00105306856217
5,-0.3,-0.30343581298,-0.00343581297966,-0.00120637594021
6,-0.28,-0.282837576903,-0.00283757690312,-0.000311492043608
7,-0.26,-0.262898193302,-0.0028981933024,-0.000184975636151
8,-0.24,-0.242414980584,-0.00241498058403,-0.00142360710468
9,-0.22,-0.223115389562,-0.0031153895619,-0.000832122057045
10,-0.2,-0.2026719173,-0.00267191729973,0.00188729247126
1,-0.38,-0.383439621087,-0.00343962108745,-0.00251170525823
2,-0.36,-0.363389459309,-0.00338945930886,-0.000385373562789
3,-0.34,-0.344196741766,-0.00419674176587,0.000876502218856
4,-0.32,-0.322942299503,-0.00294229950281,-0.00160875183127
5,-0.3,-0.30335161225,-0.00335161224995,-0.00055103015962
6,-0.28,-0.283585386431,-0.00358538643136,-0.00122190245206
7,-0.26,-0.263448283606,-0.00344828360575,-0.000440083497879
8,-0.24,-0.243663162917,-0.00366316291654,-0.00165292808805
9,-0.22,-0.22207342801,-0.00207342801028,-0.00219081636132
10,-0.2,-0.203219871696,-0.00321987169649,-0.000211453335649
1,-0.38,-0.384231124073,-0.00423112407292,-0.00213206125094
2,-0.36,-0.363239048268,-0.00323904826842,-0.000774129567202
3,-0.34,-0.343967264281,-0.00396726428141,0.000479246809826
4,-0.32,-0.323256551706,-0.00325655170625,-0.000369771627217
5,-0.3,-0.302637365796,-0.00263736579572,-3.36452983176e-05
6,-0.28,-0.283722518559,-0.00372251855919,-0.000992453557874
7,-0.26,-0.262771557028,-0.00277155702825,-0.00150797705846
8,-0.24,-0.242369257672,-0.00236925767207,0.000614122724884
9,-0.22,-0.221830360267,-0.00183036026709,-0.00015390949971
10,-0.2,-0.20213891037,-0.00213891037027,0.0017476972794
1,-0.38,-0.382694063892,-0.00269406389185,-0.00243963261728
2,-0.36,-0.361500537621,-0.0015005376209,-0.00144001102202
3,-0.34,-0.34214152655,-0.00214152654992,0.000257567378391
4,-0.32,-0.323415188109,-0.00341518810877,0.000694505583219
5,-0.3,-0.3031097285,-0.00310972850028,-0.00133024917882
6,-0.28,-0.28236875343,-0.00236875342953,-0.000588287483987
7,-0.26,-0.262314962232,-0.00231496223244,0.00179636892276
8,-0.24,-0.24358533236,-0.0035853323598,0.000780225761693
9,-0.22,-0.223686364319,-0.00368636431858,-6.27946369598e-05
10,-0.2,-0.203188621426,-0.00318862142616,0.000449039407756
