Messung,Soll,Ist,Abweichung in Y,Abweichung in X
4,-0.28,-0.277719438407,0.00228056159313,-0.000799234347585
5,-0.3,-0.29714753115,0.00285246884954,-0.00190053274046
6,-0.32,-0.316815129876,0.0031848701239,0.000712387572063
7,-0.34,-0.337812043522,0.00218795647826,0.00254270386944
8,-0.36,-0.358914363595,0.00108563640506,0.00165475171411
9,-0.38,-0.377614390438,0.00238560956234,0.000165739509905
10,-0.4,-0.397527341643,0.00247265835737,0.00112575308904
1,-0.22,-0.218019557054,0.00198044294573,-0.000471609424424
2,-0.24,-0.238480084454,0.00151991554634,-0.000455448709513
3,-0.26,-0.259250873061,0.000749126939099,0.000968644786377
4,-0.28,-0.277850498181,0.00214950181855,-0.00121283986152
5,-0.3,-0.299061361254,0.000938638745638,-0.00154690160403
6,-0.32,-0.318946267304,0.00105373269597,0.00107658076809
7,-0.34,-0.337354789649,0.00264521035073,0.00295979358968
8,-0.36,-0.357754464255,0.00224553574521,0.00171177797175
9,-0.38,-0.377608009671,0.00239199032875,6.91747549275e-05
10,-0.4,-0.397230970373,0.00276902962725,0.000998200401912
1,-0.22,-0.217743021322,0.00225697867814,0.000420600231841
2,-0.24,-0.239100798167,0.000899201832586,-0.0011689784121
3,-0.26,-0.259255542425,0.000744457575172,4.87585321706e-05
4,-0.28,-0.277694074389,0.00230592561135,-0.00100369854115
5,-0.3,-0.298626091423,0.00137390857694,-0.00144166694619
6,-0.32,-0.318395895031,0.00160410496859,0.000733778492208
7,-0.34,-0.337253584879,0.00274641512068,0.00192631893731
8,-0.36,-0.358804670008,0.0011953299921,0.000896221643248
9,-0.38,-0.378614650114,0.0013853498864,-0.000470488825845
10,-0.4,-0.397223062435,0.00277693756527,0.000934753365788
1,-0.22,-0.217972838959,0.00202716104102,-0.000911743422728
2,-0.24,-0.238651061119,0.00134893888063,0.000567798072447
3,-0.26,-0.258959985896,0.00104001410432,0.000881562785578
4,-0.28,-0.277738011674,0.00226198832567,-0.000230596587393
5,-0.3,-0.297553750052,0.00244624994834,-0.000561762628037
6,-0.32,-0.3173305919,0.0026694081,0.00191234785138
7,-0.34,-0.337525172114,0.0024748278857,0.00283130774065
8,-0.36,-0.35760946871,0.00239053128956,0.00185992085746
9,-0.38,-0.3778167762,0.00218322380008,-0.000490480160575
10,-0.4,-0.398924405806,0.00107559419446,-0.00120505301713
