Pose,x_diff[mm],y_diff[mm],z_diff[mm],,
y16x44,-1.02690602044,-1.37399189279,-0.00257479551924,,
y28x53,-1.01223154913,1.25555107346,-0.731582416044,,
y28x62,-1.41509390871,4.16495527988,-0.10150985401,,
y16x65,-0.0365106392365,2.71622256396,0.126726259798,,
y16x38,-1.54164095412,-1.24602608087,0.0602849661978,,
y28x65,-0.793320100123,4.99847120268,0.058321762464,,
y19x65,-1.37649263891,4.35423242125,-1.29599613809,,
y22x53,-0.186458485334,2.11109949125,-0.0272331638086,,
y22x50,-1.3429722456,2.32451291283,-0.635378449968,,
y22x56,0.161427714377,4.61986735987,0.481356297082,,
y19x62,0.194560141451,2.78407162274,1.02277655518,,
y19x47,-0.451381246114,0.792301959522,0.203958825176,,
y10x62,0.00934433124078,4.99805975328,-0.540205322629,,
y19x44,-4.62601995015,0.830208917024,-1.02159759984,,
y19x41,-2.57062655699,-0.308513547415,-0.557529064097,,
y22x38,-4.59729724789,-0.4975444448,-1.22373232504,,
y10x38,-2.45506332405,-0.637719493336,-0.358561292613,,
y25x65,-0.129241736326,4.21389429053,0.872765145299,,
y13x38,-0.563290363039,1.80300140041,-0.305230161148,,
y25x38,-1.46525139993,1.51891341342,-0.431963616836,,
y10x59,-0.124794101304,1.5711615884,-0.382639279922,,
y25x47,-2.7127118564,2.95690343004,-0.921921365892,,
y10x56,-0.675133788306,0.995526405758,-0.321655069719,,
y22x59,-0.616192925286,3.8569950013,0.456387314996,,
y10x53,1.94599485141,2.14196354204,1.43323001754,,
y10x50,-1.11927308107,-0.0111097449172,0.014338146185,,
y16x59,0.769316425207,2.1195333221,1.97575478193,,
y28x56,-1.4213084117,1.62388817056,-0.408525709524,,
y28x50,-0.291377743087,1.75676377248,0.38047994732,,
y13x59,-0.817288278146,1.50287844384,-0.331768913951,,
y13x56,0.505198005616,0.595412149566,1.07930650571,,
y16x50,-1.41775707742,2.13339012223,-0.854333890576,,
y16x53,-2.49556789485,-0.504022068329,-1.0476516564,,
y13x53,-1.40215279544,-0.192009771773,-0.325484448929,,
y13x50,-1.56653478953,3.89001429246,-0.924770379675,,
y16x56,-2.30936768451,1.09617839393,-1.4084342273,,
Pose,x_diff[mm],y_diff[mm],z_diff[mm],,
y28x59,-3.03002148334,1.08455336593,-1.2863841934,,
y22x47,-3.08805853086,0.773059966995,-0.48597645395,,
y25x44,-2.73077834005,2.69791920716,-0.916847221501,,
y25x41,-3.5738023162,2.60016316606,-0.91980844206,,
y28x38,-2.2764080448,1.38798242524,-0.391359844265,,
y19x50,0.924498769148,2.06888311589,0.694813088804,,
y25x59,-4.08476416389,2.50683720643,-2.14625115987,,
y19x38,-3.34864971306,0.209642189932,-1.1245078801,,
y19x53,-0.231997264744,3.96282729251,0.0139805682469,,
y22x44,-2.25318335686,3.20348066342,-0.814982408218,,
y19x56,-3.12533985571,3.5141368725,-1.75514843464,,
y22x62,-0.988757210579,4.26470925161,-0.20559188699,,
y19x59,-2.36622682961,1.07464804993,-1.49607318053,,
y25x62,-1.20347496064,3.71546630627,0.0254414341846,,
y22x65,-1.51634454747,3.79331970907,-0.51778766488,,
y10x41,-3.25054435439,0.123806093137,-1.16906807877,,
y13x65,-1.18603884042,2.79905831016,-0.778130400258,,
y10x65,3.04961036142,3.09053087246,2.28209076288,,
y10x44,-2.39433335786,0.533730004061,-0.955252702109,,
y13x62,1.23695622938,4.18852649329,0.462190743983,,
y16x62,2.01927831254,2.73344182487,1.37965687638,,
y10x47,-2.307800117,-0.225743690008,-0.400172385095,,
y25x56,-2.63146780646,1.37899282687,-0.775002700174,,
y25x53,0.140877900553,1.15927698501,0.391245536298,,
y28x41,-3.73637057767,2.15549574491,-0.732674731496,,
y25x50,-0.21633200306,0.901513254498,0.434561502783,,
y22x41,-2.99582364639,1.32851863484,-1.07256770247,,
y28x47,-0.951388362213,2.79100950899,0.0876318779292,,
y28x44,-3.74542204302,2.6559259031,-0.860241703726,,
y13x44,-2.6184069408,2.23432574573,-0.540569155325,,
y13x47,-0.487708659187,-0.666359431669,-0.0138950863018,,
y16x41,-3.04694047698,-0.269054315297,-0.683402358817,,
y13x41,-1.65333152371,-1.37321444987,0.103639611473,,
y16x47,-0.0730733196734,-0.33469039209,-0.164532665749,,
y16x44,-2.25686280824,1.96842389033,-1.29154910626,,
y28x53,-1.32565876633,1.19027397501,-0.333237419052,,
y28x62,-0.48157275184,2.78260394607,0.405264327465,,
y16x65,-0.204699677599,2.69466059184,0.455071284707,,
y16x38,-2.14153103307,-0.193941055006,-0.610403883589,,
y28x65,-0.644274283279,4.0990271346,0.0769112426828,,
y19x65,0.0789028744272,3.9646267637,-0.126647435667,,
y22x53,-1.56022191676,4.43574831355,-0.780709197508,,
y22x50,-1.52093840186,0.470997752861,-0.143218890082,,
y22x56,0.857207005177,4.17990571638,0.765441344927,,
y19x62,1.15604157196,3.90021309564,1.40640972895,,
y19x47,-0.563427075819,0.356739797885,-0.336677369674,,
y10x62,-1.36488248475,3.32121338349,-1.60303521032,,
y19x44,-3.77651467928,1.87613077993,-1.37364822979,,
y19x41,-4.03205367843,0.886187376246,-1.19663797659,,
y22x38,-2.17679102189,-2.29116453426,-0.994769050226,,
y10x38,-1.47576756835,0.322447203178,-0.50670246114,,
y25x65,0.467476180783,3.93373272801,1.45007040409,,
y13x38,-2.20534906656,-0.884346589145,-0.272038997099,,
y25x38,-1.69735765641,1.77007727432,-0.440228314622,,
y10x59,-0.243448784744,3.71960843598,-0.0876340620336,,
y25x47,-2.55485587991,2.31364060847,-0.444752383474,,
y10x56,-1.6639190787,2.71937090356,-1.27437356274,,
y22x59,-2.05213853313,3.2722525678,-0.640227810069,,
y10x53,0.531398432044,1.69984108814,0.394674901288,,
y10x50,0.182633318223,0.0233110355365,0.306460474691,,
y16x59,-1.40592767692,1.52803891738,-1.08354830994,,
y28x56,-0.751384394117,1.88374674311,-0.250274114314,,
y28x50,-0.396944036621,1.3948083322,0.164426488294,,
y13x59,-1.736238707,3.27765731269,-1.12532151488,,
y13x56,-0.863000777691,1.04086867883,-0.485280238998,,
y16x50,1.38668668753,2.0671126865,0.669835103041,,
y16x53,-1.88032578667,1.92275184787,-0.378465962825,,
y13x53,-1.82572033848,0.758804624543,-0.76640920062,,
y13x50,-0.236035935073,0.670646773258,-0.124149694059,,
y16x56,-0.884669491045,2.41515197865,-0.176486479014,,
Pose,x_diff[mm],y_diff[mm],z_diff[mm],,
y28x59,-3.74555929352,0.847823144033,-1.98024365378,,
y22x47,-0.571485638711,1.51336121925,0.0139233096698,,
y25x44,-3.22695211715,2.24657237125,-0.951470560194,,
y25x41,-3.81854332841,1.91028103147,-0.950183637324,,
y28x38,-1.00086174245,1.66024606726,-0.253336172178,,
y19x50,-0.882046615282,1.73313917165,-0.406543218613,,
y25x59,-1.67947506739,3.92025069825,-0.614729214181,,
y19x38,-3.32423068682,-2.32546887797,-1.06140568674,,
y19x53,-1.04148343621,0.799047490712,0.0519933321502,,
y22x44,-2.5335882597,3.1792289111,-0.637241859666,,
y19x56,-0.436000120499,4.30012492814,-0.802678491226,,
y22x62,-1.96480056083,1.77539398374,-0.844390747905,,
y19x59,0.576925221908,4.79485828554,1.01392379201,,
y25x62,0.388553207804,4.56257531041,1.12309004947,,
y22x65,1.64917670596,4.10159520894,1.792745963,,
y10x41,-2.06743496696,1.24364864493,-1.03198569146,,
y13x65,-0.0549999177352,2.38930800473,-0.060773134305,,
y10x65,2.46475459541,5.00136942163,1.42229243255,,
y10x44,-3.34531290574,1.78681257085,-1.16306363705,,
y13x62,1.8420571668,3.58911243111,1.4146807512,,
y16x62,-0.292009188903,0.927190988225,0.450196263814,,
y10x47,-0.985592767967,0.368996626452,-0.56063909749,,
y25x56,-2.98578804865,2.075735704,-1.04439670563,,
y25x53,-1.01596224305,1.06629490256,-0.400011876346,,
y28x41,-4.05401295669,2.65308694739,-1.1994333346,,
y25x50,0.155243147231,1.32194970852,0.224943159848,,
y22x41,-5.20726560556,0.621062214264,-1.37699221102,,
y28x47,-1.79266385426,2.43728411129,-0.428494716244,,
y28x44,-2.85679257314,1.73866096351,-0.786252522269,,
y13x44,-2.00847864174,0.801435850339,-0.993118074935,,
y13x47,-0.26794534563,-0.491879352351,-0.0201629075416,,
y16x41,-2.30277721228,1.21349383222,-0.487925669109,,
y13x41,-1.44420446348,0.414092868422,-0.190850996164,,
y16x47,0.589107360994,-0.315288803273,0.51753282792,,
y16x44,-0.605203977685,0.00719806636304,-0.0886454603626,,
